Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Datetime,,,,,
2025-12-05 14:30:00+00:00,686.1599731445312,686.1699829101562,685.3800048828125,685.469970703125,1658270
2025-12-05 14:31:00+00:00,686.3200073242188,686.5599975585938,686.010009765625,686.1699829101562,688411
2025-12-05 14:32:00+00:00,686.2100219726562,686.4000244140625,686.1699829101562,686.3099975585938,384350
2025-12-05 14:33:00+00:00,686.2899780273438,686.4199829101562,686.1500244140625,686.2000122070312,363132
2025-12-05 14:34:00+00:00,686.0700073242188,686.4000244140625,686.0499877929688,686.2899780273438,541792
2025-12-05 14:35:00+00:00,685.969970703125,686.1799926757812,685.8800048828125,686.0599975585938,410050
2025-12-05 14:36:00+00:00,686.1599731445312,686.1599731445312,685.8400268554688,685.97998046875,250804
2025-12-05 14:37:00+00:00,686.2700805664062,686.4299926757812,686.1400146484375,686.1699829101562,173482
2025-12-05 14:38:00+00:00,686.2999877929688,686.3900146484375,686.1900024414062,686.2750244140625,160006
2025-12-05 14:39:00+00:00,685.9901123046875,686.3300170898438,685.969970703125,686.3099975585938,123490
2025-12-05 14:40:00+00:00,685.8800048828125,686.1900024414062,685.6799926757812,686.010009765625,257914
2025-12-05 14:41:00+00:00,685.6500244140625,686.1199951171875,685.3200073242188,685.8599853515625,299080
2025-12-05 14:42:00+00:00,685.8800048828125,685.8800048828125,685.489990234375,685.6400146484375,239132
2025-12-05 14:43:00+00:00,685.9349975585938,686.1190185546875,685.7999877929688,685.8900146484375,204242
2025-12-05 14:44:00+00:00,685.8300170898438,685.9343872070312,685.7000122070312,685.9343872070312,146090
2025-12-05 14:45:00+00:00,686.0505981445312,686.22998046875,685.8099975585938,685.8400268554688,237430
2025-12-05 14:46:00+00:00,686.25,686.3200073242188,686.02001953125,686.0700073242188,117476
2025-12-05 14:47:00+00:00,686.2150268554688,686.2899780273438,686.030029296875,686.27001953125,123934
2025-12-05 14:48:00+00:00,686.3499755859375,686.3900146484375,686.1099853515625,686.2349853515625,121274
2025-12-05 14:49:00+00:00,686.5599975585938,686.5599975585938,686.2949829101562,686.3599853515625,177441
2025-12-05 14:50:00+00:00,686.4600219726562,686.6099853515625,686.4000244140625,686.5599975585938,135216
